order_id,customer_id,order_status,total_price,order_date,order_priority,clerk,ship_priority,comment
33993222,1352837,O,181155.12,1996-11-12,4-NOT SPECIFIED,Clerk#000009236,0," enticing accounts wake. furi"		
33993251,773962,O,60278.73,1997-12-24,5-LOW,Clerk#000001943,0,the slyly final dep		
33993252,1472680,O,30491.74,1996-06-10,1-URGENT,Clerk#000005392,0,deposits sleep across the careful deposits. blithely ironic dolphins alon		
33993282,1002614,O,100354.08,1996-12-11,4-NOT SPECIFIED,Clerk#000007163,0,usly regular foxes promise? express platelets boost regular depo		
33993285,1370768,O,106993.87,1998-03-14,1-URGENT,Clerk#000004412,0,egular packages cajo		
33993312,1244861,O,65475.88,1998-06-24,2-HIGH,Clerk#000005457,0,quests. final packages cajole. quickl		
33993313,372302,O,259408.54,1996-10-14,1-URGENT,Clerk#000000339,0,. quickly unusual ideas sleep quickly according to the slyly ironic request		
33993315,10153,O,178015.31,1998-02-15,5-LOW,Clerk#000004115,0,jole above the furiously bold instructions. ironic requests nag blit		
33993318,207637,O,328253.60,1997-02-03,4-NOT SPECIFIED,Clerk#000000202,0,are slyly unusual packages	 regularly ironic platelets according to the final	
33993348,436894,O,225670.97,1996-05-04,5-LOW,Clerk#000009655,0,"uriously bold ideas wake fluffily. special, re"		
33993349,346624,O,104860.98,1996-12-04,1-URGENT,Clerk#000009266,0,as believe carefully against t		
33993351,929134,O,228241.85,1996-12-24,5-LOW,Clerk#000004717,0,eep slyly. furious packages cajole bold Tiresias. sly		
33993377,775201,O,328661.52,1998-01-11,3-MEDIUM,Clerk#000001973,0," quickly ironic courts. regular ideas breach about the thin accounts. "		
33993380,284672,O,71136.28,1996-05-10,5-LOW,Clerk#000000743,0,"xes. final, unusual pinto beans eat accounts. blithel"		
33993383,961753,O,62242.70,1996-01-12,5-LOW,Clerk#000009005,0,"ers wake. regular, regular instructions sleep furiously "		
33993408,173332,O,20117.95,1996-03-16,3-MEDIUM,Clerk#000002718,0,ss packages: blithely bold foxes sleep fluffily final excus		
33993412,421531,O,273665.58,1996-10-18,2-HIGH,Clerk#000008274,0,"nst the accounts cajole furiously express, brav"		
33993443,1104119,O,261428.20,1997-11-30,5-LOW,Clerk#000004337,0,uctions boost slyly ironic requests. exp		
33993473,773513,O,233568.25,1997-08-23,3-MEDIUM,Clerk#000003009,0,yly against the even foxes. quickly even dependencies across th		
